จังหวัด,เขต,ผู้มีสิทธิเลือกตั้ง,ผู้ใช้สิทธิเลือกตั้ง,ร้อยละ,บัตรเสีย,ร้อยละ2, บัตรไม่เลือกผู้สมัครผู้ใด,ร้อยละ3
สกลนคร,7,129965,82845,63.74408495,2420,2.92111775,1192,1.438831553
สงขลา,1,128356,102285,79.68852255,2797,2.734516302,3495,3.416923303
สงขลา,2,109816,86476,78.74626648,2047,2.367130765,2113,2.443452519
สงขลา,3,128660,107756,83.75252604,3141,2.914918891,3523,3.269423512
สงขลา,4,126314,102833,81.41061165,3991,3.881049858,2223,2.161757413
สงขลา,5,125902,103190,81.96057251,5194,5.033433472,5800,5.62069968
สงขลา,6,113548,92676,81.61834643,3003,3.240321119,1701,1.835426648
สงขลา,7,119873,99374,82.89940187,5304,5.3374122,3744,3.767585083
สงขลา,8,116928,97417,83.31366311,3942,4.046521654,3031,3.111366599
สงขลา,9,127045,107213,84.38978315,2824,2.634008935,3959,3.692649212
สตูล,1,114190,88647,77.63114108,3515,3.965165206,3835,4.326147529
สตูล,2,126303,105508,83.53562465,3460,3.27937218,2287,2.167608143
สมุทรปราการ,1,127532,100175,78.54891321,2421,2.416770651,2644,2.639381083
สมุทรปราการ,2,125227,99349,79.33512741,2302,2.317084218,2121,2.134898187
สมุทรปราการ,3,141111,106238,75.28683093,2186,2.057644157,2944,2.771136505
สมุทรปราการ,4,126803,101810,80.2898985,1840,1.807288086,3270,3.211865239
สมุทรปราการ,5,151316,119975,79.28771577,2338,1.948739321,3251,2.709731194
สมุทรปราการ,6,132580,102544,77.34499925,3156,3.07770323,2716,2.648619129
สมุทรปราการ,7,139854,113796,81.36771204,2643,2.322577243,1921,1.688108545
สมุทรปราการ,8,144807,113255,78.21099809,3136,2.768972672,2608,2.30276809
สมุทรสงคราม,1,156024,120853,77.45795519,4302,3.559696491,2977,2.463323211
สมุทรสาคร,1,151099,117455,77.73380367,3292,2.802775531,3294,2.804478311
สมุทรสาคร,2,145061,112852,77.79623744,2973,2.634423847,2883,2.554673378
สมุทรสาคร,3,150251,119698,79.66535996,4301,3.593209577,2771,2.314992732
สระแก้ว,1,145448,107882,74.17221275,5036,4.668063254,1623,1.504421498
สระแก้ว,2,143259,103004,71.90054377,3844,3.731893907,1590,1.543629374
สระแก้ว,3,148906,110159,73.97888601,4988,4.528000436,1745,1.58407393
สระบุรี,1,126173,103684,82.17605985,3696,3.564677289,3316,3.198179083
สระบุรี,2,133203,109753,82.3952914,4939,4.500104781,2080,1.895164597
สระบุรี,3,123399,103466,83.84670864,3900,3.769354184,1818,1.75709895
สระบุรี,4,126633,103760,81.93756762,4189,4.037201234,2754,2.654202005
สิงห์บุรี,1,168062,131501,78.24552844,6084,4.626580786,3939,2.995414484
สุโขทัย,1,119308,89158,74.72927214,3929,4.406783463,2856,3.203302003
สุโขทัย,2,117981,84373,71.51405735,4677,5.543242506,1290,1.52892513
สุโขทัย,3,121622,91645,75.35232113,4376,4.774946806,1252,1.366141088
สุโขทัย,4,120730,89737,74.32866727,4878,5.435884864,1802,2.008090308
สุพรรณบุรี,1,134390,101837,75.77721557,7032,6.905152351,3054,2.998910023
สุพรรณบุรี,2,129478,97621,75.39582014,6228,6.379774844,1707,1.748599174
สุพรรณบุรี,3,128962,104692,81.18050278,6273,5.991861842,1345,1.284720896
สุพรรณบุรี,4,137085,108646,79.25447715,6026,5.54645362,1232,1.133957992
สุพรรณบุรี,5,144544,114168,78.98494576,7109,6.226788592,2586,2.265083036
สุราษฎร์ธานี,1,115687,88545,76.53841832,1894,2.139025354,3950,4.461008527
สุราษฎร์ธานี,2,114455,84772,74.06579005,2621,3.091822772,2142,2.52677771
สุราษฎร์ธานี,3,117203,92603,79.01077617,3095,3.342224334,3137,3.387579236
สุราษฎร์ธานี,4,121218,89546,73.87186721,2395,2.674602997,5337,5.960065218
สุราษฎร์ธานี,5,118628,86830,73.19519844,3245,3.737187608,4449,5.123805136
สุราษฎร์ธานี,6,123057,96741,78.61478827,3129,3.234409402,2621,2.709295955
สุราษฎร์ธานี,7,119934,90881,75.77584338,2388,2.627611932,4969,5.467589485
สุรินทร์,1,135300,100333,74.15594974,3447,3.435559587,2274,2.266452712
สุรินทร์,2,138837,101279,72.94813342,3876,3.827052005,1480,1.461309847
สุรินทร์,3,137628,94821,68.89659081,4143,4.369285285,845,0.891152804
สุรินทร์,4,139262,93230,66.94575692,3519,3.774536094,1601,1.717258393
สุรินทร์,5,135384,88718,65.53063878,3406,3.839130729,1225,1.380779549
สุรินทร์,6,132918,89196,67.1060353,4773,5.351136822,845,0.947351899
สุรินทร์,7,134858,96743,71.73693811,3771,3.897956441,1472,1.521557115
สุรินทร์,8,134865,91228,67.64394024,5424,5.945543035,1084,1.188231683
หนองคาย,1,138031,97081,70.33275134,3596,3.704123361,1859,1.914895809
หนองคาย,2,135023,87296,64.6526888,4217,4.830690982,995,1.13980022
หนองคาย,3,136980,92354,67.42152139,3516,3.80709011,1493,1.616605669
หนองบัวลำภู,1,138523,95960,69.27369462,4225,4.402876198,1451,1.51208837
หนองบัวลำภู,2,135176,88961,65.81123868,2778,3.122716696,867,0.974584368
หนองบัวลำภู,3,130715,87226,66.72990858,3317,3.802765231,866,0.992823241
อ่างทอง,1,111355,89918,80.74895604,3263,3.628861852,2059,2.289864098
อ่างทอง,2,112719,91466,81.14514856,3805,4.160015744,1517,1.658539785
อำนาจเจริญ,1,145416,105574,72.60136436,3359,3.181654574,1269,1.202000493
อำนาจเจริญ,2,155936,111813,71.7044172,3824,3.419995886,1101,0.984679778
อุดรธานี,1,127631,90592,70.97962094,1988,2.194454256,2912,3.214411869
อุดรธานี,2,126532,90418,71.45860336,2572,2.844566347,2620,2.897653122
อุดรธานี,3,124503,82967,66.63855489,3306,3.984716815,947,1.141417672
อุดรธานี,4,125363,80439,64.16486523,2416,3.003518194,561,0.697422892
อุดรธานี,5,122848,77781,63.31482808,2537,3.261722014,929,1.19437909
อุดรธานี,6,125610,84614,67.36247114,2461,2.908502139,770,0.910014891
อุดรธานี,7,128164,83997,65.53868481,2330,2.773908592,1423,1.694108123
อุดรธานี,8,122306,82330,67.31476788,2738,3.325640714,1200,1.457548889
อุดรธานี,9,123681,85776,69.35260873,3295,3.841400858,1255,1.463113225
อุดรธานี,10,121558,83474,68.67009987,3510,4.204902125,1360,1.629249826
อุตรดิตถ์,1,118390,90411,76.36709182,3357,3.713043767,2028,2.24308989
อุตรดิตถ์,2,125354,89997,71.7942786,5237,5.819082858,2104,2.337855706
อุตรดิตถ์,3,124268,92484,74.42302121,4034,4.361835561,2288,2.473941439
อุทัยธานี,1,127586,92174,72.24460364,4581,4.969948142,2765,2.999761321
อุทัยธานี,2,133394,93771,70.2962652,5304,5.656332981,1675,1.786266543
อุบลราชธานี,1,131647,104255,79.19284146,2143,2.055536905,3089,2.962927438
อุบลราชธานี,2,135410,99861,73.74713832,5014,5.020979161,2501,2.504481229
อุบลราชธานี,3,138593,103707,74.82845454,3249,3.132864705,884,0.852401477
อุบลราชธานี,4,142804,109437,76.634408,5196,4.747937169,3666,3.349872529
อุบลราชธานี,5,130284,93368,71.66497805,2873,3.077071373,697,0.74650844
อุบลราชธานี,6,128707,88724,68.93486757,3198,3.604436229,701,0.790090618
อุบลราชธานี,7,127884,91944,71.89640612,2775,3.018141477,696,0.756982511
อุบลราชธานี,8,135989,96804,71.18516939,3374,3.485393166,1374,1.419362836
อุบลราชธานี,9,128539,86559,67.34065148,3749,4.331149852,960,1.109070114
อุบลราชธานี,10,139504,101369,72.66386627,3181,3.138040229,760,0.749736113
อุบลราชธานี,11,133945,93548,69.84060622,2790,2.982426134,805,0.860520802
